[2025-10-02 11:17:22] [INFO] Unity プロジェクト構造セットアップを開始
[2025-10-02 11:17:22] [INFO] プロジェクトルート: Trae
[2025-10-02 11:17:22] [INFO] Dry-Run モード: False
[2025-10-02 11:17:22] [INFO] プロジェクトパス: C:\Users\User\Trae\Game_project\Trae (既存)
[2025-10-02 11:17:22] [INFO] 既存ディレクトリ: C:\Users\User\Trae\Game_project\Trae\Assets
[2025-10-02 11:17:22] [INFO] 既存ディレクトリ: C:\Users\User\Trae\Game_project\Trae\ProjectSettings
[2025-10-02 11:17:22] [INFO] 既存ディレクトリ: C:\Users\User\Trae\Game_project\Trae\Packages
[2025-10-02 11:17:22] [INFO] ディレクトリ作成: C:\Users\User\Trae\Game_project\Trae\Assets\Trae
[2025-10-02 11:17:22] [INFO] ディレクトリ作成: C:\Users\User\Trae\Game_project\Trae\Assets\Trae\Scripts
[2025-10-02 11:17:22] [INFO] ディレクトリ作成: C:\Users\User\Trae\Game_project\Trae\Assets\Trae\Scripts\Core
[2025-10-02 11:17:22] [INFO] ディレクトリ作成: C:\Users\User\Trae\Game_project\Trae\Assets\Trae\Scripts\UI
[2025-10-02 11:17:22] [INFO] ディレクトリ作成: C:\Users\User\Trae\Game_project\Trae\Assets\Trae\Scripts\Gameplay
[2025-10-02 11:17:22] [INFO] ディレクトリ作成: C:\Users\User\Trae\Game_project\Trae\Assets\Trae\Scripts\Audio
[2025-10-02 11:17:22] [INFO] ディレクトリ作成: C:\Users\User\Trae\Game_project\Trae\Assets\Trae\Scripts\Utils
[2025-10-02 11:17:22] [INFO] ディレクトリ作成: C:\Users\User\Trae\Game_project\Trae\Assets\Trae\Scripts\Data
[2025-10-02 11:17:22] [INFO] ディレクトリ作成: C:\Users\User\Trae\Game_project\Trae\Assets\Trae\Scripts\Services
[2025-10-02 11:17:22] [INFO] ディレクトリ作成: C:\Users\User\Trae\Game_project\Trae\Assets\Trae\Scripts\Controllers
[2025-10-02 11:17:22] [INFO] ディレクトリ作成: C:\Users\User\Trae\Game_project\Trae\Assets\Trae\Scenes
[2025-10-02 11:17:22] [INFO] ディレクトリ作成: C:\Users\User\Trae\Game_project\Trae\Assets\Trae\Scenes\Boot
[2025-10-02 11:17:22] [INFO] ディレクトリ作成: C:\Users\User\Trae\Game_project\Trae\Assets\Trae\Scenes\Main
[2025-10-02 11:17:22] [INFO] ディレクトリ作成: C:\Users\User\Trae\Game_project\Trae\Assets\Trae\Scenes\UI
[2025-10-02 11:17:22] [INFO] ディレクトリ作成: C:\Users\User\Trae\Game_project\Trae\Assets\Trae\Prefabs
[2025-10-02 11:17:22] [INFO] ディレクトリ作成: C:\Users\User\Trae\Game_project\Trae\Assets\Trae\Prefabs\UI
[2025-10-02 11:17:22] [INFO] ディレクトリ作成: C:\Users\User\Trae\Game_project\Trae\Assets\Trae\Prefabs\Gameplay
[2025-10-02 11:17:23] [INFO] ディレクトリ作成: C:\Users\User\Trae\Game_project\Trae\Assets\Trae\Prefabs\Audio
[2025-10-02 11:17:23] [INFO] ディレクトリ作成: C:\Users\User\Trae\Game_project\Trae\Assets\Trae\Prefabs\Effects
